School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
White Marsh Elementary School,White Marsh Elementary School,St. Mary's,2,3/10/2021,15:00:00+00
Winters Mill High School,Winters Mill High School,Carroll,2,3/10/2021,15:00:00+00
Yeshiva of Greater Washington,Yeshiva of Greater Washington,Montgomery,4,3/10/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,5,3/17/2021,15:00:00+00
Boonsboro High School,Boonsboro High School,Washington,7,3/17/2021,15:00:00+00
The Bryn Mawr School,The Bryn Mawr School,Baltimore City,2,3/17/2021,15:00:00+00
Clear Springs High School,Clear Spring High School,Washington,3,3/17/2021,15:00:00+00
Francis Scott Key Elementary School,Francis Scott Key Elementary School,Baltimore City,3,3/17/2021,15:00:00+00
Hammond High School,Hammond High School,Howard,2,3/17/2021,15:00:00+00
The John Carroll School,The John Carroll School,Harford,3,3/17/2021,15:00:00+00
KIPP Harmony Academy,KIPP Harmony Academy,Baltimore City,2,3/17/2021,15:00:00+00
Leith Walk Elementary/Middle School,Leith Walk Elementary/Middle School,Baltimore City,2,3/17/2021,15:00:00+00
Lincolnshire Elementary School,Lincolnshire Elementary,Washington,3,3/17/2021,15:00:00+00
Manchester Valley High School,Manchester Valley High School,Carroll,3,3/17/2021,15:00:00+00
Mechanicsville Elementary School,Mechanicsville Elementary,Carroll,5,3/17/2021,15:00:00+00
Mt. Aetna Adventist School,Mt. Aetna Adventist School,Washington,4,3/17/2021,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph High School,Baltimore City,9,3/17/2021,15:00:00+00
Ner Israel Rabbinical College,Ner Israel Rabbinical College,Baltimore,4,3/17/2021,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,5,3/17/2021,15:00:00+00
Sabillasville Elementary School,Sabillasville Elementary School,Frederick,2,3/17/2021,15:00:00+00
Sparrows Point High School,Sparrows Point High School,Baltimore,6,3/17/2021,15:00:00+00
St. John Regional Catholic School,St. John Regional Catholic School,Frederick,2,3/17/2021,15:00:00+00
Saint John's Catholic Preparatory School,Saint John's Catholic Preparatory School,Frederick,10,3/17/2021,15:00:00+00
St. Maria Goretti High School,St. Maria Goretti High School,Washington,4,3/17/2021,15:00:00+00
St. Michael - St. Clement School,St. Michael- St. Clement School,Baltimore,3,3/17/2021,15:00:00+00
St. Thomas More Academy,St. Thomas More Academy,Frederick,15,3/17/2021,15:00:00+00
St. Ursula School,St. Ursula School,Baltimore,2,3/17/2021,15:00:00+00
Stepping Stones Learning Academy,Stepping Stones Learning Academy,Wicomico,6,3/17/2021,15:00:00+00
The Country School,The Country School,Talbot,8,3/17/2021,15:00:00+00
Walt Whitman High School,Walt Whitman High School,Montgomery,4,3/17/2021,15:00:00+00
Westminster High School,Westminster High School,Carroll,7,3/17/2021,15:00:00+00
White Marsh Elementary School,White Marsh Elementary School,St. Mary's,2,3/17/2021,15:00:00+00
Winston Churchill High School,Winston Churchill High School,Montgomery,2,3/17/2021,15:00:00+00
